Date,Total_Consumption
2020-05-07,43.5
2020-05-08,22.5
2020-05-09,39.6
2020-05-10,30.0
2020-05-11,33.900000000000006
2020-05-12,51.900000000000006
2020-05-13,56.1
2020-05-14,58.8
2020-05-15,21.3
2020-05-16,56.1
2020-05-17,35.099999999999994
2020-05-18,55.5
2020-05-19,46.8
2020-05-20,61.2
2020-05-21,24.6
2020-05-22,39.0
2020-05-23,45.6
2020-05-24,40.2
2020-05-25,60.0
2020-05-26,48.3
2020-05-27,74.4
2020-05-28,47.7
2020-05-29,28.200000000000003
2020-05-30,56.400000000000006
2020-05-31,26.1
2020-06-01,39.3
2020-06-02,31.8
2020-06-03,35.099999999999994
2020-06-04,47.400000000000006
2020-06-05,54.0
2020-06-06,51.900000000000006
2020-06-07,49.8
2020-06-08,29.1
2020-06-09,36.6
2020-06-10,51.900000000000006
2020-06-11,61.5
2020-06-12,59.1
2020-06-13,33.3
2020-06-14,50.1
2020-06-15,51.0
2020-06-16,72.30000000000001
2020-06-17,70.5
2020-06-18,24.0
2020-06-19,29.700000000000003
2020-06-20,44.400000000000006
2020-06-21,37.5
2020-06-22,26.4
2020-06-23,23.4
2020-06-24,25.5
2020-06-25,45.6
2020-06-26,33.0
2020-06-27,61.8
2020-06-28,46.2
2020-06-29,47.7
2020-06-30,42.900000000000006
2020-07-01,72.9
2020-07-02,57.900000000000006
2020-07-03,55.2
2020-07-04,38.7
2020-07-05,46.8
2020-07-06,25.8
2020-07-07,39.3
2020-07-08,32.7
2020-07-09,38.1
2020-07-10,66.0
2020-07-11,48.3
2020-07-12,41.400000000000006
2020-07-13,21.9
2020-07-14,45.6
2020-07-15,27.0
2020-07-16,26.700000000000003
2020-07-17,22.5
2020-07-18,22.200000000000003
2020-07-19,23.1
2020-07-20,38.400000000000006
2020-07-21,27.6
2020-07-22,55.8
2020-07-23,28.8
2020-07-24,21.0
2020-07-25,11.7
2020-07-26,31.200000000000003
2020-07-27,26.700000000000003
2020-07-28,63.0
2020-07-29,9.9
2020-07-30,12.3
2020-07-31,27.3
2020-08-01,30.3
2020-08-02,30.9
2020-08-03,37.5
2020-08-04,22.200000000000003
2020-08-05,43.5
2020-08-06,71.4
2020-08-07,28.8
2020-08-08,21.6
2020-08-09,35.099999999999994
2020-08-10,15.6
2020-08-11,25.8
2020-08-12,39.0
2020-08-13,17.1
2020-08-14,17.700000000000003
2020-08-15,18.3
2020-08-16,15.6
2020-08-17,14.1
2020-08-18,5.1
2020-08-19,48.6
2020-08-20,41.7
2020-08-21,9.0
2020-08-22,30.6
2020-08-23,23.1
2020-08-24,39.0
2020-08-25,35.099999999999994
2020-08-26,33.900000000000006
2020-08-27,27.3
2020-08-28,24.0
2020-08-29,15.0
2020-08-30,35.400000000000006
2020-08-31,22.5
2020-09-01,42.3
2020-09-02,30.0
2020-09-03,20.700000000000003
2020-09-04,22.8
2020-09-05,48.3
2020-09-06,18.6
2020-09-07,20.4
2020-09-08,28.5
2020-09-09,42.3
2020-09-10,34.5
2020-09-11,41.7
2020-09-12,49.5
2020-09-13,26.700000000000003
2020-09-14,20.1
2020-09-15,19.200000000000003
2020-09-16,40.5
2020-09-17,42.3
2020-09-18,27.3
2020-09-19,25.5
2020-09-20,21.0
2020-09-21,34.2
2020-09-22,22.5
2020-09-23,33.599999999999994
2020-09-24,32.7
2020-09-25,32.400000000000006
2020-09-26,55.2
2020-09-27,23.1
2020-09-28,36.3
2020-09-29,64.5
2020-09-30,25.8
2020-10-01,43.8
2020-10-02,60.3
2020-10-03,61.2
2020-10-04,13.5
2020-10-05,14.4
2020-10-06,36.3
2020-10-07,19.5
2020-10-08,22.8
2020-10-09,19.8
2020-10-10,27.3
2020-10-11,45.900000000000006
2020-10-12,27.0
2020-10-13,39.3
2020-10-14,57.900000000000006
2020-10-15,20.700000000000003
2020-10-16,49.2
2020-10-17,24.9
2020-10-18,24.0
2020-10-19,39.900000000000006
2020-10-20,29.1
2020-10-21,49.2
2020-10-22,21.9
2020-10-23,43.8
2020-10-24,38.7
2020-10-25,35.400000000000006
2020-10-26,20.1
2020-10-27,42.0
2020-10-28,7.5
2020-10-29,7.800000000000001
2020-10-30,16.200000000000003
2020-10-31,30.6
2020-11-01,39.3
2020-11-02,67.19999999999999
2020-11-03,68.4
2020-11-04,14.7
2020-11-05,17.4
2020-11-06,12.0
2020-11-07,14.4
2020-11-08,20.4
2020-11-09,17.1
2020-11-10,31.200000000000003
2020-11-11,35.099999999999994
2020-11-12,43.5
2020-11-13,45.6
2020-11-14,29.700000000000003
2020-11-15,25.5
2020-11-16,48.900000000000006
2020-11-17,47.1
2020-11-18,49.2
2020-11-19,25.8
2020-11-20,41.1
2020-11-21,27.0
2020-11-22,33.900000000000006
2020-11-23,56.7
2020-11-24,40.8
2020-11-25,29.1
2020-11-26,24.0
2020-11-27,71.4
2020-11-28,26.4
2020-11-29,28.5
2020-11-30,53.1
2020-12-01,6.6
2020-12-02,10.6
2020-12-03,12.5
2020-12-04,2.8
2020-12-05,9.6
2020-12-06,6.5
2020-12-07,8.2
2020-12-08,7.7
2020-12-09,8.8
2020-12-10,14.2
2020-12-11,14.2
2020-12-12,8.0
2020-12-13,10.4
2020-12-14,13.1
2020-12-15,16.9
2020-12-16,17.2
2020-12-17,9.3
2020-12-18,17.9
2020-12-19,13.0
2020-12-20,10.2
2020-12-21,9.6
2020-12-22,19.3
2020-12-23,15.1
2020-12-24,14.7
2020-12-25,19.2
2020-12-26,14.6
2020-12-27,16.3
2020-12-28,23.5
2020-12-29,21.0
2020-12-30,17.9
2020-12-31,12.8
2021-01-01,16.7
2021-01-02,7.1
2021-01-03,6.0
2021-01-04,16.7
2021-01-05,3.0
2021-01-06,10.3
2021-01-07,9.4
2021-01-08,5.1
2021-01-09,6.8
2021-01-10,15.9
2021-01-11,4.1
2021-01-12,8.2
2021-01-13,19.0
2021-01-14,14.9
2021-01-15,19.0
2021-01-16,13.7
2021-01-17,8.0
2021-01-18,11.1
2021-01-19,17.0
2021-01-20,9.6
2021-01-21,8.3
2021-01-22,22.3
2021-01-23,9.5
2021-01-24,8.5
2021-01-25,11.8
2021-01-26,17.3
2021-01-27,17.6
2021-01-28,11.2
2021-01-29,19.0
2021-01-30,7.2
2021-01-31,9.8
2021-02-01,10.0
2021-02-02,21.5
2021-02-03,10.2
2021-02-04,12.0
2021-02-05,10.0
2021-02-06,6.2
2021-02-07,6.8
2021-02-08,2.8
2021-02-09,11.4
2021-02-10,6.1
2021-02-11,4.5
2021-02-12,7.8
2021-02-13,14.2
2021-02-14,8.3
2021-02-15,11.2
2021-02-16,13.4
2021-02-17,13.6
2021-02-18,6.6
2021-02-19,15.5
2021-02-20,18.7
2021-02-21,7.2
2021-02-22,10.4
2021-02-23,11.7
2021-02-24,6.3
2021-02-25,2.4
2021-02-26,2.4
2021-02-27,2.7
2021-02-28,2.4
2021-02-28,9.3
2021-03-01,30.3
2021-03-02,53.7
2021-03-03,24.6
2021-03-04,21.0
2021-03-05,30.0
2021-03-06,45.3
2021-03-07,34.5
2021-03-08,15.9
2021-03-09,35.400000000000006
2021-03-10,43.2
2021-03-11,20.700000000000003
2021-03-12,31.8
2021-03-13,47.7
2021-03-14,49.5
2021-03-15,36.3
2021-03-16,39.6
2021-03-17,50.1
2021-03-18,46.2
2021-03-19,30.6
2021-03-20,26.1
2021-03-21,57.0
2021-03-22,46.2
2021-03-23,61.5
2021-03-24,52.2
2021-03-25,48.900000000000006
2021-03-26,45.6
2021-03-27,23.4
2021-03-28,47.7
2021-03-29,55.5
2021-03-30,54.0
2021-03-31,27.6
2021-04-01,59.1
2021-04-02,32.7
2021-04-03,40.2
2021-04-04,38.400000000000006
2021-04-05,49.8
2021-04-06,60.0
2021-04-07,28.200000000000003
2021-04-08,45.0
2021-04-09,35.099999999999994
2021-04-10,54.900000000000006
2021-04-11,48.0
2021-04-12,34.2
2021-04-13,69.9
2021-04-14,32.7
2021-04-15,50.1
2021-04-16,31.8
2021-04-17,35.099999999999994
2021-04-18,55.5
2021-04-19,67.5
2021-04-20,56.400000000000006
2021-04-21,36.0
2021-04-22,53.400000000000006
2021-04-23,36.900000000000006
2021-04-24,31.5
2021-04-25,36.6
2021-04-26,25.8
2021-04-27,31.5
2021-04-28,22.8
2021-04-29,61.5
2021-04-30,31.8
2021-05-01,44.7
2021-05-02,69.30000000000001
2021-05-03,69.30000000000001
2021-05-04,51.6
2021-05-05,35.400000000000006
2021-05-06,33.0
2021-05-07,61.8
2021-05-08,27.9
2021-05-09,24.6
2021-05-10,43.2
2021-05-11,113.4
2021-05-12,38.1
2021-05-13,51.3
2021-05-14,58.8
2021-05-15,37.5
2021-05-16,53.400000000000006
2021-05-17,51.3
2021-05-18,63.900000000000006
2021-05-19,31.200000000000003
2021-05-20,45.3
2021-05-21,38.7
2021-05-22,29.700000000000003
2021-05-23,36.3
2021-05-24,46.5
2021-05-25,87.6
2021-05-26,38.400000000000006
2021-05-27,53.7
2021-05-28,43.2
2021-05-29,33.599999999999994
2021-05-30,40.8
2021-05-31,52.2
2021-06-01,45.3
2021-06-02,37.2
2021-06-03,43.5
2021-06-04,43.8
2021-06-05,57.900000000000006
2021-06-06,33.599999999999994
2021-06-07,70.5
2021-06-08,22.200000000000003
2021-06-09,70.19999999999999
2021-06-10,31.5
2021-06-11,38.400000000000006
2021-06-12,75.30000000000001
2021-06-13,75.9
2021-06-14,52.5
2021-06-15,90.3
2021-06-16,39.6
2021-06-17,32.400000000000006
2021-06-18,76.80000000000001
2021-06-19,49.5
2021-06-20,56.400000000000006
2021-06-21,60.3
2021-06-22,60.0
2021-06-23,41.7
2021-06-24,60.6
2021-06-25,48.6
2021-06-26,34.8
2021-06-27,61.8
2021-06-28,37.8
2021-06-29,28.200000000000003
2021-06-30,26.4
2021-07-01,31.200000000000003
2021-07-02,24.9
2021-07-03,43.5
2021-07-04,35.099999999999994
2021-07-05,27.9
2021-07-06,47.400000000000006
2021-07-07,30.3
2021-07-08,16.200000000000003
2021-07-09,41.400000000000006
2021-07-10,35.099999999999994
2021-07-11,29.700000000000003
2021-07-12,49.8
2021-07-13,38.400000000000006
2021-07-14,37.8
2021-07-15,27.9
2021-07-16,36.3
2021-07-17,33.599999999999994
2021-07-18,30.0
2021-07-19,45.0
2021-07-20,29.1
2021-07-21,29.1
2021-07-22,18.3
2021-07-23,24.6
2021-07-24,26.1
2021-07-25,24.6
2021-07-26,23.1
2021-07-27,31.5
2021-07-28,21.6
2021-07-29,31.5
2021-07-30,37.8
2021-07-31,42.3
2021-08-01,43.5
2021-08-02,33.900000000000006
2021-08-03,49.2
2021-08-04,74.1
2021-08-05,40.5
2021-08-06,37.5
2021-08-07,19.5
2021-08-08,6.300000000000001
2021-08-09,26.1
2021-08-10,42.3
2021-08-11,35.7
2021-08-12,27.9
2021-08-13,6.0
2021-08-14,5.699999999999999
2021-08-15,5.699999999999999
2021-08-16,5.699999999999999
2021-08-17,5.699999999999999
2021-08-18,5.699999999999999
2021-08-19,5.699999999999999
2021-08-20,5.699999999999999
2021-08-21,5.4
2021-08-22,5.699999999999999
2021-08-23,5.4
2021-08-24,5.4
2021-08-25,5.1
2021-08-26,5.4
2021-08-27,5.4
2021-08-28,5.699999999999999
2021-08-29,5.699999999999999
2021-08-30,5.699999999999999
2021-08-31,37.2
2021-09-01,27.3
2021-09-02,41.400000000000006
2021-09-03,29.1
2021-09-04,16.799999999999997
2021-09-05,30.9
2021-09-06,30.3
2021-09-07,16.799999999999997
2021-09-08,7.199999999999999
2021-09-09,17.700000000000003
2021-09-10,37.8
2021-09-11,54.3
2021-09-12,39.0
2021-09-13,40.5
2021-09-14,36.3
2021-09-15,26.4
2021-09-16,17.1
2021-09-17,36.900000000000006
2021-09-18,33.599999999999994
2021-09-19,25.5
2021-09-20,18.0
2021-09-21,39.6
2021-09-22,28.200000000000003
2021-09-23,22.8
2021-09-24,42.6
2021-09-25,20.4
2021-09-26,23.700000000000003
2021-09-27,48.6
2021-09-28,29.4
2021-09-29,23.700000000000003
2021-09-30,21.9
2021-10-01,29.4
2021-10-02,44.7
2021-10-03,27.9
2021-10-04,30.3
2021-10-05,48.0
2021-10-06,18.9
2021-10-07,21.6
2021-10-08,6.9
2021-10-09,21.3
2021-10-10,20.700000000000003
2021-10-11,31.200000000000003
2021-10-12,42.3
2021-10-13,23.4
2021-10-14,25.8
2021-10-15,54.900000000000006
2021-10-16,24.6
2021-10-17,39.900000000000006
2021-10-18,36.0
2021-10-19,51.6
2021-10-20,31.8
2021-10-21,37.2
2021-10-22,30.9
2021-10-23,30.6
2021-10-24,58.2
2021-10-25,22.8
2021-10-26,7.800000000000001
2021-10-27,8.100000000000001
2021-10-28,24.9
2021-10-29,24.3
2021-10-30,15.6
2021-10-31,17.4
2021-11-01,26.1
2021-11-02,25.200000000000003
2021-11-03,43.5
2021-11-04,30.3
2021-11-05,26.4
2021-11-06,20.1
2021-11-07,20.1
2021-11-08,6.6000000000000005
2021-11-09,17.700000000000003
2021-11-10,34.5
2021-11-11,45.3
2021-11-12,22.200000000000003
2021-11-13,16.799999999999997
2021-11-14,27.9
2021-11-15,62.1
2021-11-16,49.8
2021-11-17,20.1
2021-11-18,26.700000000000003
2021-11-19,37.8
2021-11-20,25.8
2021-11-21,25.5
2021-11-22,27.6
2021-11-23,80.69999999999999
2021-11-24,44.7
2021-11-25,43.8
2021-11-26,22.5
2021-11-27,38.1
2021-11-28,27.6
2021-11-29,53.400000000000006
2021-11-30,44.1
2021-12-01,20.5
2021-12-02,12.3
2021-12-03,10.9
2021-12-04,21.4
2021-12-05,9.7
2021-12-06,8.0
2021-12-07,12.9
2021-12-08,1.8
2021-12-09,8.2
2021-12-10,16.5
2021-12-11,12.9
2021-12-12,8.9
2021-12-13,10.1
2021-12-14,14.7
2021-12-15,8.9
2021-12-16,7.7
2021-12-17,13.3
2021-12-18,8.6
2021-12-19,9.7
2021-12-20,17.0
2021-12-21,21.3
2021-12-22,11.0
2021-12-23,12.3
2021-12-24,5.6
2021-12-25,4.7
2021-12-26,6.4
2021-12-27,12.4
2021-12-28,8.5
2021-12-29,2.5
2021-12-30,5.1
2021-12-31,11.4
2022-01-01,10.6
2022-01-02,11.5
2022-01-03,24.3
2022-01-04,12.1
2022-01-05,8.5
2022-01-06,9.5
2022-01-07,6.8
2022-01-08,4.0
2022-01-09,5.0
2022-01-10,7.0
2022-01-11,10.2
2022-01-12,7.7
2022-01-13,10.5
2022-01-14,9.9
2022-01-15,9.6
2022-01-16,20.5
2022-01-17,19.4
2022-01-18,25.6
2022-01-19,8.6
2022-01-20,7.5
2022-01-21,10.5
2022-01-22,5.5
2022-01-23,10.3
2022-01-24,18.8
2022-01-25,21.7
2022-01-26,8.4
2022-01-27,7.2
2022-01-28,20.5
2022-01-29,6.8
2022-01-30,10.4
2022-01-31,28.7
2022-02-01,18.1
2022-02-02,8.0
2022-02-03,8.2
2022-02-04,8.3
2022-02-05,7.7
2022-02-06,5.4
2022-02-07,6.6
2022-02-08,2.9
2022-02-09,6.8
2022-02-10,5.4
2022-02-11,8.7
2022-02-12,18.0
2022-02-13,8.4
2022-02-14,15.2
2022-02-15,9.2
2022-02-16,5.8
2022-02-17,3.5
2022-02-18,3.7
2022-02-19,4.3
2022-02-20,11.2
2022-02-21,7.9
2022-02-22,21.8
2022-02-23,16.3
2022-02-24,9.0
2022-02-25,6.3
2022-02-26,5.1
2022-02-27,9.9
2022-02-28,13.5
2022-03-01,52.2
2022-03-02,33.3
2022-03-03,33.0
2022-03-04,24.3
2022-03-05,46.2
2022-03-06,33.599999999999994
2022-03-07,27.0
2022-03-08,17.4
2022-03-09,45.0
2022-03-10,47.1
2022-03-11,57.3
2022-03-12,29.4
2022-03-13,28.5
2022-03-14,41.1
2022-03-15,58.5
2022-03-16,22.8
2022-03-17,50.1
2022-03-18,27.9
2022-03-19,21.0
2022-03-20,28.200000000000003
2022-03-21,51.6
2022-03-22,44.7
2022-03-23,25.8
2022-03-24,33.900000000000006
2022-03-25,50.1
2022-03-26,21.6
2022-03-27,34.8
2022-03-28,55.5
2022-03-29,50.7
2022-03-30,28.5
2022-03-31,43.8
2022-04-01,57.0
2022-04-02,65.4
2022-04-03,47.400000000000006
2022-04-04,63.3
2022-04-05,36.0
2022-04-06,32.7
2022-04-07,57.900000000000006
2022-04-08,23.4
2022-04-09,28.8
2022-04-10,57.900000000000006
2022-04-11,50.7
2022-04-12,39.900000000000006
2022-04-13,55.5
2022-04-14,42.900000000000006
2022-04-15,36.900000000000006
2022-04-16,43.2
2022-04-17,54.3
2022-04-18,41.1
2022-04-19,35.400000000000006
2022-04-20,39.3
2022-04-21,44.400000000000006
2022-04-22,40.8
2022-04-23,32.099999999999994
2022-04-24,30.0
2022-04-25,60.900000000000006
2022-04-26,58.2
2022-04-27,33.3
2022-04-28,41.1
2022-04-29,42.3
2022-04-30,37.5
2022-05-01,34.5
2022-05-02,33.900000000000006
2022-05-03,27.6
2022-05-04,44.1
2022-05-05,52.2
2022-05-06,28.8
2022-05-07,61.2
2022-05-08,24.6
2022-05-09,55.5
2022-05-10,32.7
2022-05-11,36.3
2022-05-12,63.0
2022-05-13,34.8
2022-05-14,44.400000000000006
2022-05-15,34.2
2022-05-16,59.1
2022-05-17,50.400000000000006
2022-05-18,30.3
2022-05-19,46.5
2022-05-20,39.0
2022-05-21,44.400000000000006
2022-05-22,38.1
2022-05-23,40.8
2022-05-24,31.200000000000003
2022-05-25,36.6
2022-05-26,33.0
2022-05-27,39.900000000000006
2022-05-28,30.6
2022-05-29,30.9
2022-05-30,52.2
2022-05-31,33.3
2022-06-01,30.3
2022-06-02,39.3
2022-06-03,36.6
2022-06-04,31.5
2022-06-05,36.6
2022-06-06,50.1
2022-06-07,36.3
2022-06-08,25.200000000000003
2022-06-09,37.2
2022-06-10,33.0
2022-06-11,31.5
2022-06-12,73.19999999999999
2022-06-13,0.6000000000000001
2022-06-15,25.200000000000003
2022-06-16,48.0
2022-06-17,32.099999999999994
2022-06-18,28.5
2022-06-19,30.6
2022-06-20,35.400000000000006
2022-06-21,27.3
2022-06-22,27.3
2022-06-23,32.400000000000006
2022-06-24,47.1
2022-06-25,25.200000000000003
2022-06-26,41.7
2022-06-27,57.3
2022-06-28,39.0
2022-06-29,38.1
2022-06-30,41.7
2022-07-01,51.6
2022-07-02,81.6
2022-07-03,33.599999999999994
2022-07-04,29.4
2022-07-05,20.1
2022-07-06,36.6
2022-07-07,41.1
2022-07-08,19.200000000000003
2022-07-09,33.0
2022-07-10,47.7
2022-07-11,36.3
2022-07-12,33.900000000000006
2022-07-13,17.4
2022-07-14,33.0
2022-07-15,23.4
2022-07-16,24.9
2022-07-17,19.5
2022-07-18,24.3
2022-07-19,28.8
2022-07-20,23.700000000000003
2022-07-21,25.8
2022-07-22,22.5
2022-07-23,27.6
2022-07-24,18.9
2022-07-25,17.700000000000003
2022-07-26,21.3
2022-07-27,30.0
2022-07-28,38.1
2022-07-29,24.9
2022-07-30,26.1
2022-07-31,36.0
2022-08-01,30.0
2022-08-02,44.400000000000006
2022-08-03,67.80000000000001
2022-08-04,34.8
2022-08-05,33.0
2022-08-06,20.1
2022-08-07,27.3
2022-08-08,9.9
2022-08-09,19.200000000000003
2022-08-10,28.5
2022-08-11,53.1
2022-08-12,30.0
2022-08-13,23.1
2022-08-14,14.4
2022-08-15,36.900000000000006
2022-08-16,25.8
2022-08-17,13.5
2022-08-18,26.1
2022-08-19,17.700000000000003
2022-08-20,13.8
2022-08-21,27.6
2022-08-22,45.0
2022-08-23,20.700000000000003
2022-08-24,26.1
2022-08-25,18.9
2022-08-26,26.700000000000003
2022-08-27,12.9
2022-08-28,24.0
2022-08-29,26.1
2022-08-30,34.5
2022-08-31,22.200000000000003
2022-09-01,29.1
2022-09-02,25.8
2022-09-03,28.8
2022-09-04,33.3
2022-09-05,24.3
2022-09-06,21.9
2022-09-07,13.8
2022-09-08,27.3
2022-09-09,34.5
2022-09-10,19.200000000000003
2022-09-11,22.8
2022-09-12,39.6
2022-09-13,35.400000000000006
2022-09-14,31.200000000000003
2022-09-15,26.1
2022-09-16,36.3
2022-09-17,17.700000000000003
2022-09-18,25.8
2022-09-19,44.7
2022-09-20,48.0
2022-09-21,23.4
2022-09-22,21.3
2022-09-23,30.6
2022-09-24,24.0
2022-09-25,17.4
2022-09-26,28.200000000000003
2022-09-27,38.1
2022-09-28,18.9
2022-09-29,20.1
2022-09-30,50.400000000000006
2022-10-01,48.0
2022-10-02,28.5
2022-10-03,24.3
2022-10-04,38.1
2022-10-05,58.8
2022-10-06,38.400000000000006
2022-10-07,26.700000000000003
2022-10-08,26.1
2022-10-09,19.5
2022-10-10,41.7
2022-10-11,25.200000000000003
2022-10-12,36.0
2022-10-13,23.4
2022-10-14,37.5
2022-10-15,25.5
2022-10-16,21.0
2022-10-17,65.1
2022-10-18,23.4
2022-10-19,22.200000000000003
2022-10-20,25.5
2022-10-21,49.2
2022-10-22,19.5
2022-10-23,33.900000000000006
2022-10-24,54.0
2022-10-25,58.8
2022-10-26,17.4
2022-10-27,17.700000000000003
2022-10-28,21.0
2022-10-29,40.8
2022-10-30,30.6
2022-10-31,36.900000000000006
2022-11-01,54.3
2022-11-02,73.80000000000001
2022-11-03,62.7
2022-11-04,54.900000000000006
2022-11-05,23.700000000000003
2022-11-06,18.0
2022-11-07,18.0
2022-11-08,19.8
2022-11-09,17.4
2022-11-10,56.400000000000006
2022-11-11,48.0
2022-11-12,27.9
2022-11-13,26.1
2022-11-14,51.900000000000006
2022-11-15,43.8
2022-11-16,26.700000000000003
2022-11-17,22.5
2022-11-18,74.1
2022-11-19,19.8
2022-11-20,28.200000000000003
2022-11-21,54.6
2022-11-22,52.5
2022-11-23,19.5
2022-11-24,48.0
2022-11-25,42.3
2022-11-26,27.9
2022-11-27,18.3
2022-11-28,34.2
2022-11-29,33.0
2022-11-30,26.1
2022-12-01,6.8
2022-12-02,9.6
2022-12-03,8.2
2022-12-04,18.1
2022-12-05,9.6
2022-12-06,6.2
2022-12-07,2.9
2022-12-08,5.3
2022-12-09,19.6
2022-12-10,7.2
2022-12-11,8.0
2022-12-12,12.8
2022-12-13,13.3
2022-12-14,10.7
2022-12-15,9.4
2022-12-16,9.8
2022-12-17,7.3
2022-12-18,8.7
2022-12-19,12.8
2022-12-20,6.2
2022-12-21,11.9
2022-12-22,8.0
2022-12-23,7.4
2022-12-24,22.7
2022-12-25,16.1
2022-12-26,14.6
2022-12-27,13.7
2022-12-28,12.9
2022-12-29,10.1
2022-12-30,20.1
2022-12-31,9.6
2023-01-01,7.7
2023-01-02,8.5
2023-01-03,7.7
2023-01-04,9.3
2023-01-05,12.5
2023-01-06,6.7
2023-01-07,7.6
2023-01-08,3.0
2023-01-09,9.9
2023-01-10,8.8
2023-01-11,6.3
2023-01-14,4.6
2023-01-15,14.0
2023-01-16,14.0
2023-01-17,10.2
2023-01-18,8.7
2023-01-19,12.8
2023-01-20,15.5
2023-01-21,10.2
2023-01-22,8.5
2023-01-23,18.3
2023-01-24,15.8
2023-01-25,9.8
2023-01-26,9.4
2023-01-27,20.0
2023-01-28,11.3
2023-01-29,10.9
2023-01-30,22.7
2023-01-31,10.6
2023-02-01,6.6
2023-02-02,9.2
2023-02-03,3.6
2023-02-04,7.3
2023-02-05,19.1
2023-02-06,4.9
2023-02-07,6.8
2023-02-08,3.0
2023-02-09,7.3
2023-02-10,12.8
2023-02-11,5.5
2023-02-13,16.8
2023-02-14,8.5
2023-02-15,12.5
2023-02-16,9.7
2023-02-17,17.5
2023-02-18,8.6
2023-02-19,10.7
2023-02-20,12.4
2023-02-21,25.6
2023-02-22,9.8
2023-02-23,9.1
2023-02-24,11.9
2023-02-25,8.3
2023-02-26,12.4
2023-02-27,11.6
2023-02-28,3.5
2023-03-01,60.900000000000006
2023-03-02,76.5
2023-03-03,18.6
2023-03-04,39.0
2023-03-05,29.4
2023-03-06,35.400000000000006
2023-03-07,31.8
2023-03-08,17.700000000000003
2023-03-09,29.1
2023-03-10,55.2
2023-03-11,30.6
2023-03-13,66.9
2023-03-14,42.0
2023-03-15,33.3
2023-03-16,28.200000000000003
2023-03-17,54.6
2023-03-18,32.400000000000006
2023-03-19,31.200000000000003
2023-03-20,2.7
2023-03-21,29.1
2023-03-22,33.0
2023-03-23,43.8
2023-03-24,55.2
2023-03-25,31.200000000000003
2023-03-26,35.400000000000006
2023-03-27,44.400000000000006
2023-03-28,61.8
2023-03-29,31.5
